Survived,Pclass,Sex,Age,Embarked
1,3,0,28.0,0.0
0,3,1,40.5,0.0
1,3,1,32.0,2.0
0,1,1,28.0,2.0
1,1,0,49.0,2.0
0,1,1,71.0,1.0
1,2,0,40.0,2.0
0,2,1,29.0,1.0
1,1,0,24.0,1.0
0,3,1,19.0,2.0
1,1,0,52.0,2.0
1,1,0,19.0,2.0
0,3,1,49.0,2.0
0,2,1,28.0,2.0
0,1,1,47.0,2.0
1,2,0,24.0,2.0
1,2,1,42.0,2.0
0,3,1,28.0,2.0
1,1,0,23.0,2.0
1,3,0,63.0,2.0
1,3,0,33.0,2.0
1,1,0,35.0,2.0
0,3,1,28.0,2.0
0,3,1,27.0,1.0
1,2,0,36.0,2.0
0,3,1,45.5,1.0
0,3,1,59.0,2.0
1,1,0,31.0,2.0
1,1,1,35.0,1.0
0,3,1,28.0,2.0
1,2,1,32.0,2.0
1,2,0,24.0,2.0
1,3,0,31.0,2.0
1,2,0,24.0,2.0
0,1,1,49.0,1.0
0,3,1,18.0,2.0
0,3,1,28.0,0.0
1,1,1,36.0,2.0
0,3,1,21.0,2.0
0,3,1,26.0,2.0
1,1,0,22.0,2.0
0,2,1,36.0,2.0
0,2,1,28.0,2.0
0,3,1,28.0,2.0
1,1,0,30.0,1.0
1,3,0,22.0,2.0
1,3,1,28.0,1.0
0,2,1,24.0,2.0
1,1,0,36.0,1.0
0,1,1,21.0,2.0
0,3,1,51.0,2.0
0,1,1,24.0,1.0
1,1,0,48.0,2.0
0,3,1,16.0,2.0
1,3,0,24.0,2.0
0,1,1,37.0,1.0
0,3,1,22.0,1.0
1,3,0,35.0,2.0
0,2,1,52.0,2.0
1,2,0,36.0,2.0
0,3,1,28.0,2.0
1,3,1,25.0,2.0
0,3,1,28.0,2.0
1,1,1,28.0,1.0
0,3,1,28.0,2.0
0,3,1,28.0,1.0
0,3,1,30.0,2.0
0,3,1,30.0,2.0
0,3,1,34.0,2.0
0,3,1,29.0,2.0
0,1,1,54.0,2.0
0,2,1,25.0,2.0
0,3,1,29.0,2.0
0,2,1,18.0,2.0
0,3,1,28.0,2.0
1,1,0,28.0,2.0
0,3,1,28.0,2.0
1,1,0,23.0,1.0
0,2,1,34.0,2.0
0,3,1,25.0,2.0
0,3,0,10.0,2.0
0,2,0,44.0,2.0
0,3,1,35.0,1.0
0,3,1,25.0,2.0
0,2,1,26.0,2.0
0,3,1,20.0,2.0
0,2,1,42.0,2.0
0,3,1,39.0,2.0
0,2,1,24.0,2.0
1,3,0,31.0,2.0
1,3,0,26.0,2.0
1,2,1,0.67,2.0
1,3,0,28.0,1.0
1,2,1,0.83,2.0
0,2,1,57.0,0.0
1,1,0,39.0,2.0
1,1,1,80.0,2.0
0,3,1,17.0,2.0
1,2,0,55.0,2.0
1,1,0,41.0,1.0
1,2,1,3.0,2.0
0,3,1,26.0,1.0
0,3,1,25.0,0.0
0,3,1,42.0,2.0
1,3,1,28.0,2.0
1,2,0,19.0,2.0
0,3,1,32.0,2.0
1,1,0,51.0,2.0
0,3,1,22.0,2.0
1,1,0,49.0,1.0
1,3,0,28.0,1.0
1,1,1,52.0,2.0
1,1,0,39.0,2.0
1,2,0,18.0,2.0
1,3,0,21.0,2.0
0,3,1,35.0,2.0
0,1,1,38.0,2.0
0,1,1,38.0,2.0
0,2,1,60.0,2.0
0,3,1,28.0,2.0
0,3,1,16.0,2.0
1,3,1,28.0,2.0
1,2,0,17.0,2.0
1,2,0,36.0,2.0
1,3,1,18.0,2.0
1,1,1,27.0,2.0
1,1,1,51.0,2.0
1,1,1,49.0,1.0
0,3,0,18.0,2.0
0,2,1,23.0,2.0
1,1,1,56.0,1.0
0,2,1,34.0,2.0
0,3,1,20.0,2.0
1,1,0,44.0,1.0
0,3,1,11.0,1.0
0,2,1,28.0,2.0
0,3,1,28.0,2.0
0,3,1,28.0,2.0
1,1,0,35.0,2.0
1,3,1,1.0,2.0
0,2,1,24.0,2.0
1,2,0,29.0,2.0
0,1,1,42.0,2.0
1,1,1,50.0,2.0
0,3,1,28.0,2.0
